farmer,"agricola, agricolae, m"
friend,"amīca, amīcae, f"
friendship,"amīcitia, amīcitiae, f"
water,"aqua, aquae, f"
dinner,"cēna, cēnae, f"
supply,"cōpia, cōpiae, f"
goddess,"dea, deae, f "
"story, play","fābula, fābulae, f"
rumor,"fāma, fāmae, f"
woman,"fēmina, fēminae, f"
window,"fenestra, fenestrae, f"
daughter,"fīlia, fīliae, f "
hour,"hōra, hōrae, f"
island,"īnsula, īnsulae, f"
anger,"īra, īrae, f"
Italy,"Ītalia, Ītaliae, f"
tongue; language,"lingua, linguae, f"
moon,"lūna, lūnae, f"
memory,"memoria, memoriae, f"
table,"mēnsa, mēnsae, f"
sailor,"nauta, nautae, m"
money,"pecūnia, pecūniae, f"
punishment,"poena, poenae, f"
poet,"poēta, poētae, m"
gate,"porta, portae, f"
girl,"puella, puellae, f"
fight,"pugna, pugnae, f"
queen,"rēgīna, rēgīnae, f"
chair,"sella, sellae, f"
forest,"silva, silvae, f"
star,"stella, stellae, f"
land,"terra, terrae, f"
road,"via, viae, f"
victory,"victōria, victōriae, f"
life,"vīta, vītae, f"
"field, territory","ager, agrī, m"
friend,"amīcus, amīcī, m"
spirit,"animus, animī, m"
year,"annus, annī, m"
"help, aid","auxilium, auxil(i)ī, n"
war,"bellum, bellī, n"
sky,"caelum, caelī, n"
food,"cibus, cibī, m"
plan,"cōnsilium, cōnsil(i)ī, n "
god,"deus, deī, m"
gift,"dōnum, dōnī, n"
horse,"equus, equī, m"
son,"fīlius, fīl(i)ī, m"
joy,"gaudium, gaudī, n"
sword,"gladius, glad(i)ī, m"
garden,"hortus, hortī, m"
book,"liber, librī, m"
children,"līberī, līberōrum, m. pl"
place,"locus, locī, m"
teacher,"magister, magistrī, m"
monster,"monstrum, monstrī, n"
wall,"mūrus, mūrī, m"
number,"numerus, numerī, m"
messenger,"nūntius, nūnt(i)ī, m"
town,"oppidum, oppidī, n"
danger,"perīculum, perīculī, n"
"people, nation","populus, populī, m"
reward,"praemium, praemī, n"
battle,"proelium, proel(i)ī, n"
boy,"puer, puerī, m"
kingdom,"rēgnum, rēgnī, n"
sign,"signum, signī, n"
ally,"socius, soc(i)ī, m"
weapon,"tēlum, tēlī, n"
wind,"ventus, ventī, m"
word,"verbum, verbī, n"
man,"vir, virī, m"
summer,"aestās, aestātis, f"
animal,"animal, animālis, n"
tree,"arbor, arboris, f"
dog,"canis, canis, c"
head,"caput, capitis, n"
