English & Pinyin,Chinese
Apply / Jiǎ qǐng,甲请
Department store / Băihuò shāngdiàn,百货商店
Congratulations / Gōngxǐ,恭喜
Business / Shāngyè,商业
Economics / Jīngji,经济
Forbidden city / gùgōng,故宫
Camping / Lùyíng,露营
Summer camp counselor / Xiàlingyíng dâng fŭdǎo yuán,夏令营当辅导员
Earn some money / Zhuàn diǎn er qián,赚点儿钱
To work part time / Dăgōng,打工
To camp / Lùyíng,露营
Summer camp / Xiàlingyíng,夏令营
To work as / Dāng,当
Store clerk / Diànyuán,店员
Allowance / Língyòng qián,零用钱
Salary / Gōngzī,工资
Staff / Zhíyuán,职员
Company / Gōngsī,公司
Customer / Gùkè,顾客
Get off work / Xiàbān,下班
Martial arts / Gōngfū,功夫
To interview / Căifăng,采访
To apply for / Shēnging,申请
Public Speaking / Gōngkāi yǎnjiăng,公开演讲
Kung Fu master / Gōngfū gãoshǒu,功夫高手
Function / capability / Gōngnéng,功能
All welcome / Yīgài huānyíng,一概欢迎
Welcome a guest / Yíng bìn,迎宾
