English & Pinyin,Chinese
Symbol / Xiàngzhēng,象征
Tradition / chuántăng,传统
Relic / wénwù,文物
Politics / Zhèngzhì,政治
Moon festival / Zhōngqiū jié,中秋节
Lunar calendar / Nóngli,农历
Traditional / Chuántăng,传统
Story / Gùshì,故事
Legend / chuánshuō,传说
Result / Jiéguǒ,结果
Attract / Mí zhù,迷住
Hero / Yīngxióng,英雄
Debate / Bāngzhù,帮助
Quintessence / Guócui,国粹
Destructive enthusiasm / Bámiáozhùzhăng,拔苗助长
Han dynasty / Cultivate / Cóng hàn cháo / Péiyăng,从汉朝 / 培养
Famous / Zhùmíng,著名
Structure / Jiégòu,结构
Qing Ming festival / Qīngmíng jié,清明节
Solar calendar / Yánglì,阳历
Ancestor / Zŭxiān,祖先
Sweep tombs / Sǎomù,扫墓
Customs / Xísú,习俗
Kowtow / Kòu tóu,叩头
Offer sacrifice / Jì bài,祭拜
